numeroclient;referencetitre;montant;objet;dtepcepec;delaimisenligne;finmiseenligne;numerocontrat
000400;202300005016000001;519.85;LOYER JUILLET 2023 - CONTRAT DE BAILTITRE 2002;2023-11-20 00:00:00;60;2024-01-19;00308583
005165;202300001663000001;60.61;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001669000001;34.96;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001670000001;29.43;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001603000001;73.66;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001678000001;15.33;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001681000001;120.35;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001683000001;52.78;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001686000001;32.48;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001691000001;33.54;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001693000001;41.04;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001694000001;59.74;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001604000001;34.49;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
046300;202300000492000001;93.00;location salle polyvalente 02 juin 2023;2023-11-20 00:00:00;60;2024-01-19;00325297
000400;202300005015000001;855.70;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 5001;2023-11-20 00:00:00;60;2024-01-19;00308583
046300;202300000494000001;185.00;LOCATION SALLE POLYVALENTE 28 AVRIL 2023;2023-11-20 00:00:00;60;2024-01-19;00325297
043865;202300000311000001;50.00;Location salle du conseil du 22 05 23 au 19 06 23;2023-11-20 00:00:00;60;2024-01-19;00318841
046300;202300000498000001;28.96;CANTINE SCOLAIRE JUIN JUILLET 2023;2023-11-20 00:00:00;60;2024-01-19;00325297
